name,price,tracking_method,connection_type,max_dpi,hand_orientation,color,purpose,performance_score
Mad Catz ‎R.A.T Pro X3 Supreme Limited Edition,48.07,Optical,Wired,16000.0,Right,Black / Gold,Mid-Range Gaming,50.67
Logitech M510,27.99,Laser,Wireless,1000.0,Right,Black,Office/Budget,41.67
Asus ROG Chakram Core,79.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Asus TUF GAMING x Demon Slayer L.E. Tanjiro Kamado,29.99,Optical,Wired,7000.0,Right,Black / Green,Mid-Range Gaming,35.67
SteelSeries Rival 100,16.48,Optical,Wired,4000.0,Right,Gold,Office/Budget,30.67
Cooler Master MM711 Matte White,24.99,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
Logitech G403 Prodigy,74.98,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Logitech M720 Triathlon,39.89,Optical,Bluetooth Wireless,1000.0,Right,Black,Portable,41.67
Microsoft MHC-00001,264.88,Optical,Wireless,3200.0,Both,Black,Portable,45.33
MSI CLUTCH GM50,38.99,Optical,Wired,7200.0,Right,Black,Mid-Range Gaming,36.0
Zowie EC2-A,75.98,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Razer DeathAdder Chroma,44.89,Optical,Wired,10000.0,Right,Black,Mid-Range Gaming,40.67
Gigabyte GM-M5050,15.0,Optical,Wired,800.0,Both,Black,Office/Budget,25.33
Logitech G603,56.86,Optical,Wireless,12000.0,Right,Black,Portable,60.0
Logitech M705,34.99,Laser,Wireless,3200.0,Right,Black,Portable,45.33
SteelSeries Sensei Ten,45.99,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
TeckNet M268-Black,58.2,Optical,Wired,3000.0,Right,Black,Mid-Range Gaming,29.0
Cooler Master MM720 Glossy,23.99,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
SteelSeries Prime,33.96,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Logitech M570,63.47,Trackball,Wireless,3200.0,Right,Black,Portable,45.33
Logitech MX Master,34.34,Laser,Bluetooth Wireless,1600.0,Right,Brown / Black,Portable,42.67
Asus ROG Keris Wireless EVA Edition,107.99,Optical,Wired,3200.0,Both,Black / Purple,Mid-Range Gaming,29.33
MSI CLUTCH GM30,33.98,Optical,Wired,6200.0,Right,Black,Mid-Range Gaming,34.33
ROCCAT Kone XP Air,129.99,Optical,"Wired, Wireless, Bluetooth Wireless",19000.0,Right,Black,Mid-Range Gaming,71.67
Logitech MX518,40.0,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
EVGA X15 MMO Gaming,46.25,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Razer DeathAdder V2 - Halo Infinite,79.98,Optical,Wired,20000.0,Right,Green / Black,Mid-Range Gaming,57.33
Asus TUF Gaming M4 Wireless,59.99,Optical,Wireless,3200.0,Right,Black,Portable,45.33
SteelSeries Prime+,28.99,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Razer Orochi V2 Quartz,69.99,Optical,Wireless,18000.0,Right,Pink / Gray,Mid-Range Gaming,70.0
Redragon Mammoth,29.99,Laser,Wired,16400.0,Right,Black / Red,Mid-Range Gaming,51.33
Asus ROG GLADIUS II ORIGIN PNK LTD,49.99,Optical,Wired,12000.0,Right,Pink / White,Mid-Range Gaming,44.0
EVGA X20,42.88,Optical,"Wired, Wireless, Bluetooth Wireless",16000.0,Right,Black / Silver,Mid-Range Gaming,66.67
Razer DeathAdder 2013,70.98,Optical,Wired,6400.0,Right,Black,Mid-Range Gaming,34.67
GameMax Tornado,22.03,Optical,Wired,2000.0,Right,Black,Office/Budget,27.33
Acer Predator Cestus 330,39.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Asus ROG Gladius II Origin,90.07,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Redragon Perdition,35.99,Laser,Wired,16400.0,Right,Black / Red,Mid-Range Gaming,51.33
Logitech G502 Proteus Core,54.45,Optical,Wired,12000.0,Right,Black / Blue,Mid-Range Gaming,44.0
Pulsar X2,96.79,Optical,"Wired, Wireless",26000.0,Right,Black,Mid-Range Gaming,83.33
ROCCAT Burst Pro,29.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Razer Mamba Wireless 2018,44.0,Optical,Wireless,16000.0,Right,Black / Green,Mid-Range Gaming,66.67
Cherry MC 1000,11.31,Optical,Wired,1200.0,Both,Black,Office/Budget,26.0
Razer DeathAdder,204.99,Laser,Wired,3500.0,Left,Black,Mid-Range Gaming,29.83
Belkin F5M010QBLK,6.95,Optical,Wired,800.0,Both,Black,Office/Budget,25.33
Endgame Gear XM1r,59.99,Optical,Wired,19000.0,Right,Black / Gold,Mid-Range Gaming,55.67
Cooler Master MM730,35.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Razer Basilisk,44.03,Optical,Wired,16000.0,Right,Pink,Mid-Range Gaming,50.67
Lamzu Atlantis OG,96.79,Optical,"Wired, Wireless",26000.0,Right,Black,Mid-Range Gaming,83.33
SteelSeries Sensei 310,102.99,Optical,Wired,12000.0,Both,Black,Mid-Range Gaming,44.0
Mad Catz The Authentic R.A.T 8+,99.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Asus P705 ROG PUGIO II,138.16,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Logitech M170,12.0,Optical,Wireless,3200.0,Both,Gray,Office/Budget,45.33
Microsoft Wireless Mobile Mouse 1850,11.62,Laser,Wireless,3200.0,Both,Black,Office/Budget,45.33
Razer Pro Click,99.99,Optical,Wireless,16000.0,Right,White,Mid-Range Gaming,66.67
Corsair GLAIVE RGB,52.1,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Redragon Centrophorus M601,20.97,Optical,Wired,2000.0,Right,Black / Red,Office/Budget,27.33
Genius DX 110,12.47,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Dell MS116,16.99,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
FinalMouse Ultralight Pro,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Cooler Master MM731,47.08,Optical,Wireless,19000.0,Right,Black,Mid-Range Gaming,71.67
Asus ROG Strix Impact II,45.8,Optical,Wired,6200.0,Right,Black,Mid-Range Gaming,34.33
Cooler Master MM720 Matte,27.99,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
A4Tech Bloody V7,48.35,Optical,Wired,3200.0,Both,Black / Red,Mid-Range Gaming,29.33
Asus ROG Gladius II,114.99,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Pulsar X2 Mini,96.79,Optical,"Wired, Wireless",26000.0,Right,Black,Mid-Range Gaming,83.33
Corsair M65 PRO RGB FPS (White),43.16,Optical,Wired,12000.0,Right,White,Mid-Range Gaming,44.0
Gigabyte AORUS M4,28.99,Optical,Wired,6400.0,Both,Black,Mid-Range Gaming,34.67
HP HyperX Pulsefire Dart,78.68,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
V7 Full size USB Optical Mouse,7.99,Optical,Wired,1000.0,Both,Silver / Black,Office/Budget,25.67
Razer Mamba Tournament Edition,178.76,Laser,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
SteelSeries Prime Wireless,70.31,Optical,Wireless,18000.0,Right,Black,Mid-Range Gaming,70.0
MSI CLUTCH GM51,84.99,Optical,"Wired, Wireless",26000.0,Right,Black,Mid-Range Gaming,83.33
UtechSmart Venus,32.99,Laser,Wired,16400.0,Right,Black,Mid-Range Gaming,51.33
HP HyperX Pulsefire Raid,50.61,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Logitech MX ANYWHERE 3,79.98,Laser,"Wired, Wireless, Bluetooth Wireless",4000.0,Right,Gray,Portable,46.67
Microsoft RJN-00025,19.99,Optical,Bluetooth Wireless,3200.0,Both,Green,Office/Budget,45.33
Corsair SABRE PRO CHAMPION SERIES,47.65,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
ROCCAT Kain 100 Aimo RGB,94.95,Optical,Wired,8500.0,Right,Black,Mid-Range Gaming,38.17
Logitech G703 (Black),64.98,Optical,Wireless,12000.0,Right,Black,Portable,60.0
Glorious MODEL O GLOSSY,34.77,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Razer Naga 2014,66.58,Laser,Wired,8200.0,Right,Black / Green,Mid-Range Gaming,37.67
SteelSeries Rival 310,75.98,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Anker AK-98ANWVM-UBA,25.0,Optical,Wireless,1600.0,Right,Black,Office/Budget,42.67
Logitech ERGO M575,44.97,Optical,Bluetooth Wireless,2000.0,Right,Black / Blue,Portable,43.33
Razer Lancehead Tournament Edition Mercury,165.99,Optical,Wired,16000.0,Both,White / Gray,Mid-Range Gaming,50.67
Cooler Master MM831,75.98,Optical,Wireless,32000.0,Right,Black,Mid-Range Gaming,93.33
Logitech MX Ergo,74.4,Optical,Wireless,440.0,Right,Black,Portable,40.73
HP Pulsefire Dart,78.68,Optical,Wireless,16000.0,Right,Black,Mid-Range Gaming,66.67
Asus ProArt Mouse MD300,79.99,Optical,"Wired, Wireless, Bluetooth Wireless",4200.0,Right,Black,Portable,47.0
Microsoft U7Z-00021,11.69,Laser,Wireless,3200.0,Both,Pink,Office/Budget,45.33
Logitech T650,22.21,Touchpad,Wireless,3200.0,Both,Silver,Office/Budget,45.33
Swiftpoint Z Gaming,65.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Logitech G100s,19.98,Optical,Wired,2500.0,Both,Black,Office/Budget,28.17
Aula SI-9008,16.99,Optical,Wired,3500.0,Right,Black,Office/Budget,29.83
Microsoft 4YH-00001,18.94,Optical,Wired,3200.0,None,Black,Office/Budget,29.33
Adesso HC-3003US,7.84,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Corsair GLAIVE RGB PRO,45.51,Optical,Wired,18000.0,Right,Black,Mid-Range Gaming,54.0
Razer Taipan,191.37,Laser,Wired,8200.0,Both,Black / White,Mid-Range Gaming,37.67
Cooler Master MM711 Glossy White,29.99,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
Logitech G500s Laser Gaming Mouse,130.03,Laser,Wired,8200.0,Right,Black / Silver,Mid-Range Gaming,37.67
ROCCAT TYON,69.7,Laser,Wired,8200.0,Right,White,Mid-Range Gaming,37.67
Redragon M801P Sniper Pro,52.1,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
SteelSeries Rival 710,125.0,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
Cooler Master MM710 Matte Black,38.8,Optical,Wired,16000.0,Right,Black,Mid-Range Gaming,50.67
3Dconnexion CadMouse Pro,119.99,Optical,Wireless,7200.0,Left,Black,Portable,52.0
Corsair SCIMITAR RGB,65.95,Optical,Wired,12000.0,Right,Black,Mid-Range Gaming,44.0
Microsoft U7Z-00011,9.94,Laser,Wireless,3200.0,Both,Blue,Office/Budget,45.33
GAMDIAS ZEUS E2,58.2,Optical,Wired,3200.0,Right,Black,Mid-Range Gaming,29.33
Logitech MX Ergo Plus,93.61,Optical,Wireless,440.0,Right,Black,Portable,40.73
Logitech M325,17.98,Optical,Wireless,1000.0,Both,Silver,Office/Budget,41.67
Logitech G203 PRODIGY,39.0,Optical,Wired,6000.0,Right,White,Mid-Range Gaming,34.0
Rosewill Neon M62,20.33,Optical,Wired,10000.0,Right,Black,Mid-Range Gaming,40.67
Apple MB829LL/A,137.25,Laser,Bluetooth Wireless,3200.0,None,White,Portable,45.33
Corsair Vengeance M65,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
Corsair M65 RGB,90.33,Laser,Wired,8200.0,Right,Black,Mid-Range Gaming,37.67
Dell WM126,17.59,Optical,Wireless,1000.0,Both,Black,Office/Budget,41.67
Genius DX 120,12.19,Optical,Wired,1000.0,Both,Black,Office/Budget,25.67
Cooler Master MM710 Matte White,37.39,Optical,Wired,16000.0,Right,White,Mid-Range Gaming,50.67
Logitech MX Anywhere 3 for Business,87.99,Laser,"Wireless, Bluetooth Wireless",4000.0,Right,Black,Portable,46.67
Razer DeathAdder V2 Pro - Genshin Impact Edition,97.62,Optical,"Wired, Wireless, Bluetooth Wireless",20000.0,Right,Blue / White,Mid-Range Gaming,73.33
